ファイル名,左上x,左上y,左下x,左下y,右上x,右上y,右下x,右下y
0611-910-CN.JPG,503,77,513,2988,4731,139,4641,3123
0611-1112-CN.JPG,645,66,635,2743,4353,141,4360,2697
0613-1-CN.JPG,188,215,169,3260,4444,234,4444,3198
0614-4-CN.JPG,625,300,666,3082,4547,320,4509,3015
0615-2-CN.JPG,235,161,268,3336,4698,156,4750,3278
0618-3-CN.JPG,224,263,224,3482,4756,284,4739,3380
0619-25-1-1.JPG,150,200,191,3416,4698,169,4701,3331
0619-25-1-2.JPG,791,490,975,2953,4254,279,4438,2687
0619-25-2-6.JPG,482,290,517,3205,4485,323,4569,3074
0619-25-3-6.JPG,1324,446,1258,2389,4361,371,4202,2683
0619-25-4-2.JPG,515,487,479,3252,4416,482,4454,3260
0619-30-5-6.JPG,471,364,509,3049,4211,372,4265,2942
0619-30-6-6.JPG,767,397,882,3030,4422,334,4539,2841
0619-30-7-1.JPG,515,227,515,3200,4654,309,4660,3175
0619-30-8-6.JPG,394,156,375,3232,4619,197,4701,3134
0620-25-8.JPG,526,76,504,2783,4337,227,4232,2843
0620-25-7.JPG,430,367,476,3043,4246,345,4246,3002
0620-25-6.JPG,371,107,263,3279,4728,115,4734,3249
0620-25-5.JPG,301,117,290,3145,4635,167,4580,3197
0620-30-4.JPG,652,142,460,2986,4728,254,4685,3227
0620-30-3.JPG,306,227,312,3389,4843,221,4971,3422
0620-30-2.JPG,219,131,276,3219,4613,21,4695,3137
0620-30-1.JPG,734,830,597,3405,4449,704,4600,3586
0622-25-1-5.JPG,1001,241,1078,2585,4241,216,4306,2446
0622-25-2-1.JPG,175,101,233,3249,4676,79,4674,3211
0622-30-3-4.JPG,476,254,405,3038,4389,241,4487,3049
0622-30-4-4.JPG,293,106,295,3172,4638,101,4796,3156
0622-30-5-3.JPG,287,246,191,3265,4479,263,4744,3255
0622-30-6-2.JPG,409,186,269,3323,4556,284,4654,3320
0622-30-7-5.JPG,593,311,557,3108,4592,301,4625,3160
0622-30-8-5.JPG,391,235,430,3202,4616,87,4753,3104
0623-25-7-6.JPG,579,518,470,3265,4392,554,4474,3294
0623-25-8-2.JPG,415,470,438,3350,4388,328,4622,3160
0623-35-1-3.JPG,461,457,328,3219,4308,482,4394,3278
0623-35-2-3.JPG,435,278,308,3352,4754,341,4807,3462
0623-35-3-3.JPG,308,353,296,3427,4647,301,4742,3397
0623-35-4-3.JPG,397,345,334,3298,4526,284,4679,3274
0623-35-5-1.JPG,672,495,542,3315,4565,478,4729,3327
0623-35-6-4.JPG,396,366,381,3362,4690,336,4714,3402
0623-35-7-4.JPG,306,373,244,3379,4525,353,4617,3392
0623-35-8-4.JPG,500,396,523,3200,4416,283,4567,3071
0624-25-3.JPG,960,412,952,2896,4440,464,4432,2888
0624-25-4.JPG,304,154,362,3246,4638,150,4672,3148
0624-25-5.JPG,345,147,333,3138,4581,231,4527,3171
0624-25-6.JPG,472,321,526,3142,4536,286,4521,3133
0624-30-1.JPG,309,192,351,3249,4485,282,4518,3108
0624-30-2.JPG,406,222,286,3270,4646,298,4690,3316
0624-35-1.JPG,328,252,244,3158,4404,338,4402,3218
0624-35-2.JPG,482,570,512,3369,4380,430,4566,3228
0624-35-3.JPG,842,470,714,3092,4556,538,4560,3220
0624-35-4.JPG,162,202,190,3355,4621,180,4662,3303
0624-35-5.JPG,286,390,442,3238,4202,228,4410,2922
0624-35-6.JPG,198,558,136,3412,4100,528,4252,3298
0624-35-7.JPG,164,296,212,3472,4656,180,4788,3368
0624-35-8.JPG,303,303,405,3396,4692,162,4797,3243
0626-5.JPG,412,552,396,3348,4314,580,4348,3310
0627-6.JPG,274,302,242,3334,4490,310,4538,3262
0628-7.JPG,366,432,348,3574,4708,398,4838,3470
0629-8.JPG,424,500,484,3196,4272,402,4332,3124
0702-1.JPG,189,99,198,3300,4588,210,4612,3210
0702-2-1.JPG,117,138,489,2823,4704,204,4689,3375
0702-3.JPG,174,111,154,3322,4716,232,4473,3243
0702-4.JPG,188,172,172,3352,4708,232,4692,3392
0702-2-2.JPG,137,170,137,3377,4697,203,4691,3388
0703-5.JPG,813,636,852,3060,4209,666,4188,2976
0703-6.JPG,308,144,196,3296,4752,218,4747,3379
0703-7.JPG,358,278,236,3400,4669,261,4831,3373
0703-8.JPG,360,312,236,3388,4644,292,4792,3392
0711-1.JPG,738,489,564,3072,4452,615,4347,3288
0713-2.JPG,324,126,250,3130,4600,218,4522,3236
0714-3.JPG,282,87,270,2778,4062,189,4059,2817
0715-4.JPG,294,258,268,3378,4618,238,4726,3292
