ÉtÉ@ÉCÉãñº,ç∂è„x,ç∂è„y,ç∂â∫x,ç∂â∫y,âEè„x,âEè„y,âEâ∫x,âEâ∫y,â~ç∂è„x,â~ç∂è„y,â~ç∂â∫x,â~ç∂â∫y,â~âEè„x,â~âEè„y,â~âEâ∫x,â~âEâ∫y
0619-25-1-1-C.JPG,832,208,901,3501,4150,227,4115,3474,1482,1679,1334,2019,3808,1893,3890,2358
0619-25-1-2-C.JPG,983,326,947,3380,4019,353,4013,3400,2301,712,2493,3243,2727,786,2694,3093
0619-25-2-6-C.JPG,794,381,809,3305,3626,366,3736,3203,1176,1196,1090,1621,3350,1126,3464,1586
0619-25-3-6-C.JPG,1134,246,994,3315,4095,402,4049,3375,2249,578,2109,3112,2684,657,2611,3019
0619-25-4-2-C.JPG,953,557,1005,3129,3494,514,3570,3043,1322,1705,1195,2040,3183,1700,3315,2081
0619-30-5-6-C.JPG,1093,391,1114,3206,3822,452,3828,3117,1360,1535,1324,1911,3498,1451,3588,1843
0619-30-6-6-C.JPG,1027,287,1079,3175,3943,244,4124,3011,3564,1082,3602,1169,3632,1263,3657,1352
0619-30-7-1-C.JPG,1379,395,1449,2902,3822,362,3931,2791,1628,1550,1675,1825,3641,1280,3657,1657
0619-30-8-6-C.JPG,1215,629,1247,3027,3559,636,3609,2943,1424,1752,1397,2051,3301,1650,3308,1924
0620-25-8-C.JPG,1290,308,1290,2741,3725,317,3713,2735,1621,1459,1670,1726,3398,1471,3392,1725
0620-25-7-C.JPG,1121,331,1177,2620,3414,284,3462,2571,1432,1436,1459,1661,3256,1226,3252,1556
0620-25-6-C.JPG,1265,544,1349,2898,3620,490,3671,2808,1581,1309,1540,1599,3385,1165,3443,1405
0620-25-5-C.JPG,1321,273,1286,2531,3573,368,3489,2566,1481,1534,1528,1816,3275,1531,3224,1789
0620-30-4-C.JPG,1351,503,1358,2851,3649,516,3688,2795,1610,1509,1597,1836,3430,1444,3457,1696
0620-30-3-C.JPG,1486,384,1547,2783,3867,360,3911,2713,1714,1361,1746,1677,3608,1319,3643,1554
0620-30-2-C.JPG,1289,507,1309,2909,3660,492,3710,2853,1587,1770,1654,2113,3512,1694,3488,1955
0620-30-1-C.JPG,1506,868,1470,3121,3722,843,3789,3121,1717,1875,1710,2136,3553,1870,3543,2162
0622-25-1-5-C.JPG,1008,558,978,3405,3830,553,3868,3402,1315,1750,1256,2069,3518,1736,3584,2078
0622-25-2-1-C.JPG,879,251,884,3262,3880,251,3890,3242,1475,1792,1306,2180,3443,1731,3615,2153
0622-30-3-4-C.JPG,1130,423,1046,3240,3863,495,3885,3230,1438,1859,1435,2284,3683,1790,3711,2197
0622-30-4-4-C.JPG,1048,305,1048,3027,3734,349,3738,2993,1258,1645,1315,1988,3524,1556,3472,1910
