ファイル名,左上x,左上y,左下x,左下y,右上x,右上y,右下x,右下y
0611-9.JPG,1885,1335,1884,2208,2751,1367,2734,2221
0611-10.JPG,1927,1103,1899,2497,3309,1131,3293,2514
0611-11.JPG,1861,1228,1827,2580,3239,1258,3191,2620
0611-12.JPG,1255,1678,1276,2934,2527,1665,2540,2960
0613-1-1.JPG,1814,1230,1804,2504,3090,1252,3064,2519
0613-1-2.JPG,2139,1280,2131,2583,3437,1290,3433,2588
0614-4.JPG,2394,1092,2383,2411,3690,1121,3669,2408
0615-2.JPG,1681,1119,1664,2517,3058,1149,3045,2513
0616-1-1.JPG,2078,1257,2057,2428,3256,1256,3256,2451
0616-1-2.JPG,2062,1293,2032,2698,3479,1323,3451,2737
0616-1-3.JPG,2116,1054,2149,2327,3409,1012,3436,2309
0616-2-1.JPG,1799,1288,1812,2520,3029,1271,3049,2509
0616-2-2.JPG,2130,1178,2125,2343,3310,1178,3300,2358
0616-2-3.JPG,2293,945,2293,2017,3383,941,3370,2025
0616-3-1.JPG,2274,983,2288,2092,3399,965,3404,2083
0616-3-2.JPG,1613,1036,1631,2595,3182,1029,3182,2585
0616-3-3.JPG,1846,879,1837,2364,3334,886,3345,2385
0616-4-1.JPG,2124,1070,2119,2127,3180,1062,3198,2125
0616-4-2.JPG,2231,1261,2202,2652,3624,1279,3624,2685
0616-4-3.JPG,2079,1117,2098,2198,3162,1108,3174,2182
0616-5-1.JPG,1937,879,1935,2321,3385,897,3360,2335
0616-5-2.JPG,1958,863,1956,2230,3344,874,3318,2246
0616-5-3.JPG,2256,1233,2319,2742,3791,1158,3862,2696
0616-6-1.JPG,1936,1917,1975,3536,3652,1904,3623,3526
0616-6-2.JPG,2088,473,2055,1920,3563,494,3496,1965
0616-6-3.JPG,1538,805,1534,2643,3373,839,3342,2648
0616-7-1.JPG,2226,669,2334,2483,4132,602,4161,2420
0616-7-2.JPG,2191,1304,2197,3074,3921,1299,3977,3053
0616-7-3.JPG,1171,609,1165,3104,3670,613,3661,3137
0616-8-1.JPG,1491,750,1472,2685,3493,802,3420,2724
0616-8-2.JPG,2779,460,2771,2849,4586,452,4570,2883
0616-8-3.JPG,1374,512,1408,2978,3901,516,3878,2975
0617-1-4.JPG,772,1584,681,2719,1827,1558,1856,2790
0617-1-5.JPG,343,366,353,1672,1654,367,1639,1695
0617-1-6.JPG,180,1357,181,2667,1498,1359,1534,2700
0617-2-4.JPG,493,1449,505,2636,1690,1423,1715,2659
0617-2-5.JPG,586,604,561,1936,1905,614,1913,1938
0617-2-6.JPG,570,1335,496,2601,1759,1324,1781,2624
0617-3-4.JPG,313,733,167,2068,1659,893,1496,2231
0617-3-5.JPG,936,1114,921,2142,1971,1108,1982,2163
0617-3-6.JPG,660,557,676,1890,1992,587,1962,1884
0617-4-4.JPG,589,447,635,1671,1860,415,1900,1711
0617-4-5.JPG,320,1457,305,2635,1503,1473,1494,2672
0617-4-6.JPG,490,1458,534,2541,1597,1440,1623,2522
0617-5-4.JPG,528,1353,647,2049,1210,1227,1333,1971
0617-5-5.JPG,698,865,626,1999,1825,905,1791,2053
0617-5-6.JPG,571,668,530,1737,1637,699,1599,1790
0617-6-4.JPG,388,402,347,1918,1908,397,1921,1929
0617-6-5.JPG,955,461,929,1828,2314,499,2280,1842
0617-6-6.JPG,521,1768,552,2805,1542,1727,1600,2780
0617-7-4.JPG,2040,1161,2042,2441,3335,1163,3331,2449
0617-7-5.JPG,1900,838,1940,2690,3770,827,3763,2657
0617-7-6.JPG,699,1067,749,1996,1654,1047,1671,1969
0617-8-4.JPG,819,2041,862,4066,2861,1970,2935,4024
0617-8-5.JPG,2187,956,2219,2878,4118,928,4152,2854
0617-8-6.JPG,504,1640,976,2584,1426,1148,1935,2082
0618-3.JPG,1541,1078,1550,2567,3074,1090,3045,2598
0623-1-7.JPG,1603,933,1513,3143,3812,1013,3734,3226
0626-5-C.JPG,1749,859,1729,2454,3234,933,3231,2449
0627-6-1-C.JPG,1298,807,1301,2667,3152,838,3136,2647
0627-6-2-C.JPG,2429,1471,2495,2639,3592,1410,3654,2568
0628-7-C.JPG,1463,913,1496,2786,3369,881,3375,2781
0629-8-C.JPG,757,216,720,3397,3913,292,3858,3421
0711-1-C.JPG,1490,640,1528,2818,3720,696,3604,2808
0712-1-1.JPG,1602,586,1621,2496,3523,633,3451,2488
0712-1-2.JPG,1512,988,1516,2782,3324,1004,3290,2792
0712-1-3.JPG,1580,612,1676,3208,4172,532,4272,3108
0712-1-4.JPG,1083,702,1137,3204,3579,582,3699,3135
0712-2-1.JPG,1674,1068,1710,2592,3188,1056,3218,2548
0712-2-2.JPG,1548,618,1578,2511,3441,618,3444,2487
0712-2-3.JPG,1472,608,1532,3152,2584,2476,4044,3084
0712-2-4.JPG,1305,1200,1377,3120,3249,1137,3303,3072
0712-3-1.JPG,1998,580,1972,2246,3642,622,3622,2265
0712-3-2.JPG,1579,1103,1652,2632,3097,1048,3161,2554
0712-3-3.JPG,1779,919,1794,2514,3326,900,3397,2490
0712-3-4.JPG,1272,454,1285,2604,3409,430,3447,2576
0712-4-1.JPG,2203,1517,2220,2826,3509,1493,3547,2812
0712-4-2.JPG,2010,349,1948,2827,4453,430,4399,2874
0712-4-3.JPG,748,498,994,3544,3780,294,3982,3272
0712-4-4.JPG,1020,170,1100,3054,3884,114,3972,2956
0712-5-1.JPG,1138,570,1112,3242,3808,604,3776,3276
0712-5-2.JPG,1150,526,1146,3196,3830,554,3790,3212
0712-5-3.JPG,2010,651,1956,3180,4516,680,4498,3218
0712-5-4.JPG,1183,504,1204,2733,3388,459,3457,2685
0712-6-1.JPG,1438,316,1305,3135,4236,462,4108,3246
0712-6-2.JPG,1426,904,1387,2998,3543,961,3474,3054
0712-6-3.JPG,1504,1081,1437,2919,3346,1150,3279,2992
0712-6-4.JPG,704,284,660,3548,3996,312,3948,3636
0712-7-1.JPG,1450,1066,1467,3603,3846,1071,3859,3514
0712-7-2.JPG,1938,523,1857,2826,4198,625,4162,2887
0712-7-3.JPG,2305,1131,2270,2588,3735,1173,3724,2614
0712-7-4.JPG,2142,1312,2110,3118,3939,1309,3987,3159
0712-8-1.JPG,1407,300,1317,3141,4215,426,4119,3210
0712-8-2.JPG,1308,358,1242,2820,3730,430,3712,2852
0712-8-3.JPG,1908,388,1936,2792,4248,386,4300,2710
